# tracer: function
#
# entries-in-buffer/entries-written: 9051/50520961   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
            nano-11521   [005] ...2. 13597.756703: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756703: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756703: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756704: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756704: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756704: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756704: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756705: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756705: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756705: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756706: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756706: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756706: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756706: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756707: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756707: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756707: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756708: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756708: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756708: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756708: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756709: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756709: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756709: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756710: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756710: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756710: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756710: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756711: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756711: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756711: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756712: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756712: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756712: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756712: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756712: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756712: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: _raw_spin_unlock <-unmap_page_range
            nano-11521   [005] ...1. 13597.756712: __cond_resched <-unmap_page_range
            nano-11521   [005] ...1. 13597.756712: __cond_resched <-unmap_page_range
            nano-11521   [005] ...1. 13597.756712: unmap_single_vma <-unmap_vmas
            nano-11521   [005] ...1. 13597.756712: uprobe_munmap <-unmap_single_vma
            nano-11521   [005] ...1. 13597.756712: unmap_page_range <-unmap_vmas
            nano-11521   [005] ...1. 13597.756712: _raw_spin_lock <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: flush_tlb_batched_pending <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756712: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756713: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756713: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756713: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756713: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756714: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756714: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756714: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756714: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756715: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756715: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756715: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756716: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756716: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756716: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756716: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756717: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: unlock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: folio_memcg_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: __rcu_read_unlock <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756717: __tlb_remove_page_size <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: vm_normal_page <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: mark_page_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: folio_mark_accessed <-unmap_page_range
            nano-11521   [005] ...2. 13597.756717: page_remove_rmap <-unmap_page_range
            nano-11521   [005] ...2. 13597.756718: lock_page_memcg <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756718: __rcu_read_lock <-lock_page_memcg
            nano-11521   [005] ...2. 13597.756718: folio_memcg_lock.part.0 <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756718: PageHuge <-page_remove_rmap
            nano-11521   [005] ...2. 13597.756718: unlock_page_memcg <-page_remove_rmap
